State,Year,HYTCP,WYTCP,SOEGP,NUETP,GDP,CLPRB,EMFDB,ENPRP,NGMPB,PAPRB,PCP,ZNDX,Nominal Price,Inflation Adjusted Price
OR,1983,45077.0,3685.0,0.0,0.0,33727.0,0.0,0.0,0.0,3.123,0.0,44.45,18.22,29.08,70.34
OR,1984,46635.0,4736.0,0.0,0.0,37444.0,0.0,0.0,0.0,2890.44,0.0,38.08,14.03,28.75,66.67
OR,1985,40780.0,6911.0,0.0,0.0,39446.0,0.0,0.0,0.0,4202.4,0.0,23.11,-10.71,26.92,60.27
OR,1986,40771.0,7081.0,0.0,0.0,41730.0,0.0,0.0,0.0,4701.2,0.0,32.99,-0.53,14.44,31.72
OR,1987,35459.0,4348.0,0.0,0.0,44594.0,0.0,0.0,0.0,3906.4,0.0,27.33,-13.12,17.75,37.62
OR,1988,34674.0,6339.0,0.0,0.0,49138.0,0.0,0.0,0.0,4092.0,0.0,29.85,-4.97,14.87,30.33
OR,1989,38007.0,5299.0,0.0,0.0,52610.0,0.0,0.0,0.0,2587.5,0.0,26.97,-6.52,18.33,35.6
OR,1990,41240.0,6074.0,0.0,1.0,56566.0,0.0,0.0,0.0,2879.745,0.0,29.9,-3.4,23.19,42.62
OR,1991,41088.0,1465.0,0.0,1.0,59441.0,0.0,0.0,0.0,2820.489,0.0,29.57,-1.58,20.2,35.73
OR,1992,31719.0,4573.0,0.0,1.0,63392.0,0.0,0.0,0.0,2669.89325,0.0,27.55,-14.65,19.25,33.04
OR,1993,35864.0,-21.0,0.0,0.0,69409.0,0.0,0.0,0.0,4150.61843,0.0,31.15,5.31,16.75,27.94
OR,1994,31220.0,0.0,0.0,0.0,75393.0,0.0,0.0,0.0,3349.70896,0.0,28.59,-8.05,15.66,25.44
OR,1995,40764.0,0.0,0.0,0.0,81554.0,0.0,0.0,0.0,1999.90752,0.0,41.42,12.83,16.75,26.48
OR,1996,44906.0,0.0,0.0,0.0,93306.0,0.0,0.0,0.0,1496.16896,0.0,48.85,18.75,20.46,31.4
OR,1997,46704.0,0.0,0.0,0.0,100363.0,0.0,0.0,0.0,1226.80215,0.0,32.6,1.77,18.64,27.98
OR,1998,39902.0,0.0,0.0,20.0,105526.0,0.0,0.0,0.0,1112.7433199999996,0.0,42.91,12.73,11.91,17.6
OR,1999,45639.0,0.0,0.0,85.0,107742.0,0.0,0.0,0.0,1356.69596,0.0,31.63,-1.88,16.56,23.89
OR,2000,38116.0,0.0,0.0,67.0,117557.0,0.0,0.0,0.0,1247.0214,0.0,27.91,-7.75,27.39,38.29
OR,2001,28645.0,0.0,0.0,89.0,116653.0,0.0,0.0,0.0,1138.67429,0.0,26.84,-10.54,23.0,31.3
OR,2002,34413.0,0.0,0.0,376.0,121204.0,0.0,0.0,0.0,856.06891,0.0,26.2,-14.01,22.81,30.52
OR,2003,33250.0,0.0,0.0,444.0,127622.0,0.0,0.0,0.0,739.69711,0.0,32.06,-7.62,27.69,36.26
OR,2004,33081.0,0.0,0.0,619.0,142328.0,0.0,0.0,0.0,473.34248,0.0,29.69,-4.36,37.66,47.98
OR,2005,30948.0,0.0,0.0,734.0,147535.0,0.0,0.0,0.0,467.51185,0.0,33.22,0.87,50.04,61.65
OR,2006,37850.0,0.0,0.0,931.0,163564.0,0.0,0.0,0.0,641.18263,0.0,36.44,0.18,58.3,69.64
OR,2007,33587.0,0.0,0.0,1247.0,170941.0,0.0,2057.452860000001,349.38287,419.35313,0.0,28.99,-8.76,64.2,74.44
OR,2008,33805.0,0.0,0.0,2575.0,180934.0,0.0,10450.80229,1782.3974600000001,795.8939999999999,0.0,28.63,-7.79,91.48,102.0
OR,2009,33034.0,0.0,0.0,3470.0,181022.0,0.0,8039.446159999998,1379.71444,840.704,0.0,27.62,-4.67,53.48,59.93
OR,2010,30542.0,0.0,0.0,3920.0,191120.0,0.0,7586.9750552284095,1306.4798032565468,911.6048244878008,0.0,37.91,11.4,71.21,78.65
OR,2011,42315.0,0.0,0.0,4775.0,199929.0,0.0,7224.583973478701,1247.983830484223,976.51213437562,0.0,30.68,1.81,87.04,93.21
OR,2012,39410.0,0.0,6.0,6343.0,196973.0,0.0,6939.437907790837,1201.4303199023868,1036.0444123534476,0.0,40.08,9.78,86.46,90.72
OR,2013,33098.0,0.0,20.0,7456.0,197470.0,0.0,6719.653009539915,1165.966238497429,1091.0974970729483,0.0,22.71,-10.84,91.17,94.25
OR,2014,35262.0,0.0,24.0,7555.0,203606.0,0.0,6555.04312276173,1139.0324872285328,1141.6713885341228,0.0,35.28,-1.24,85.6,87.05
OR,2015,28729.42834237212,1360.3767621685074,28.74192954905191,7600.4628013247,171992.58572835848,0.0,6437.968630483148,1120.6290660956984,1187.7660867369718,0.0,30.17,-13.58,41.85,42.53
OR,2016,30001.44641827303,553.8442067100441,33.50983950874612,7682.578751363877,178309.45320302527,0.0,6359.941069400651,1108.1968760581058,1230.277430333159,0.0,35.07,-1.33,46.12346273712689,45.34334281602651
OR,2017,30122.478561979937,148.28595568376113,39.47648773119532,7856.507906241639,181857.4793225033,0.0,6315.86736153216,1101.7359171157566,1270.1012579743503,0.0,32.11205798803598,-4.308469849556445,50.27031775246161,47.86557419563582
OR,2018,31701.791096801928,0.0,46.62919906402276,8029.476866819898,185607.6335617928,0.0,6300.654428895556,1099.5401232414388,1307.2375696605466,0.0,34.36841838036324,-0.1510161132181338,53.63968414130846,49.564251832694644
OR,2019,33650.601911432794,0.0,54.969440980109695,8262.228829091315,189343.0424488969,0.0,6310.058039839103,1101.6094944351516,1341.686365391747,0.0,31.913208234474677,0.17709390618497878,56.231561903667796,51.26292946975343
OR,2020,33949.77802015234,0.0,64.50847155728175,8467.624591301317,193079.47329110187,0.0,6340.6828090414065,1107.0909976832902,1373.4476451679507,0.0,32.4768582256126,-1.200036642758846,58.8234396660269,52.96160710681224
